MONTH,DAY,YEAR,WEEKDAY,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
Mar,9,2016,Wednesday,30,20,33,15,54,76,142,233,176,171,204,244,275,315,390,519,742,568,328,221,179,95,87,63
Mar,10,2016,Thursday,29,21,31,24,47,78,131,248,165,184,209,242,275,284,404,567,705,539,292,201,156,92,74,66
Mar,11,2016,Friday,44,20,33,16,43,73,120,225,156,188,239,279,350,367,476,582,725,574,443,262,183,139,102,99
Mar,12,2016,Saturday,47,31,27,16,17,23,51,118,192,234,308,354,436,390,363,353,354,347,272,190,150,114,87,85
Mar,13,2016,Sunday,36,51,19,13,15,27,69,98,158,237,306,350,348,353,382,303,306,256,198,119,82,49,27,0
Mar,14,2016,Monday,16,12,14,13,33,71,136,213,180,174,183,215,279,272,430,573,685,544,304,203,155,113,89,59
Mar,15,2016,Tuesday,32,24,27,22,41,79,131,227,155,164,221,251,274,280,392,532,669,574,285,196,184,140,78,93
Mar,16,2016,Wednesday,31,17,31,17,35,74,140,220,169,175,220,254,290,267,438,590,708,617,348,261,186,122,89,90
Mar,17,2016,Thursday,38,17,29,20,35,78,125,254,186,207,218,222,292,328,452,543,705,575,371,209,164,108,84,84
Mar,18,2016,Friday,41,25,37,26,38,73,119,206,150,187,238,317,380,347,500,568,683,612,346,244,197,149,115,101
Mar,19,2016,Saturday,38,47,26,12,10,16,53,92,134,200,304,329,366,343,365,391,379,350,303,232,187,141,124,96
Mar,20,2016,Sunday,54,57,30,17,11,18,31,62,105,187,262,363,428,393,380,384,380,277,263,182,123,75,52,29
Mar,21,2016,Monday,21,9,13,23,33,85,155,235,172,196,231,281,308,285,444,533,654,598,333,252,205,127,69,66
Mar,22,2016,Tuesday,26,15,32,15,42,83,145,247,175,214,247,276,327,340,463,609,714,633,400,240,178,134,80,98
Mar,23,2016,Wednesday,30,25,29,15,46,79,134,231,174,203,261,297,305,298,394,491,598,497,223,112,78,57,50,49
Mar,24,2016,Thursday,18,8,16,15,25,55,62,99,75,85,110,134,164,216,333,398,532,486,280,203,181,134,74,98
Mar,25,2016,Friday,33,38,33,19,22,57,111,169,185,185,295,334,433,457,537,536,590,585,408,241,224,132,100,76
Mar,26,2016,Saturday,47,51,21,15,16,21,47,70,133,235,307,353,362,394,359,421,390,334,283,229,188,146,89,71
Mar,27,2016,Sunday,45,56,16,17,9,21,35,51,117,184,276,493,388,306,290,315,341,275,238,178,134,63,49,39
Mar,28,2016,Monday,16,13,8,16,30,60,136,175,187,250,244,310,299,340,488,576,754,564,347,260,161,100,82,66
Mar,29,2016,Tuesday,34,21,27,25,41,86,161,227,190,228,229,239,256,299,449,585,710,597,361,240,178,136,83,80
Mar,30,2016,Wednesday,30,21,33,22,44,80,133,201,143,173,220,241,257,338,438,507,692,627,356,228,155,111,86,83
Mar,31,2016,Thursday,27,21,29,21,42,73,142,212,167,177,208,265,250,304,454,531,695,609,350,248,175,121,94,92
Apr,1,2016,Friday,37,26,26,27,46,72,136,217,165,191,289,295,381,398,503,631,744,644,372,287,213,160,119,79
Apr,2,2016,Saturday,56,43,25,14,21,24,50,83,123,193,254,331,361,373,406,366,396,319,274,223,181,126,106,86
